Kanji,Kana,English,Topic
評判,ひょうばん,Fame. Popularity. Rumor ,ドラえもん第1巻
学園祭,がくえんさい,School festival. Campus festival,ドラえもん第1巻
さっさ,さっさ,Promptly. Immediately,ドラえもん第1巻
片付ける,かたづける,To put in order. ,ドラえもん第1巻
手間取る,てまどる,To meet unexpected difficulties. To be delayed,ドラえもん第1巻
どうせ,どうせ,Anyhow. At any rate. At best. At most ,ドラえもん第1巻
打ち合わせ,うちあわせ,Advance arrangements. Preparatory meeting,ドラえもん第1巻
量,りょう,Quantity. Weight. Consider. Measure. Estimate. Surmise    ,ドラえもん第1巻
結ぶ,むすぶ,To tie. To link. To bear fruit. To close. To confirm.  To ally. To join hands,ドラえもん第1巻
せっせと,せっせと,Diligently. Industriously,ドラえもん第1巻
通信簿,つうしんぼ,Report card,ドラえもん第1巻
軽蔑,けいべつ,Scorn. Disdain. Contempt,ドラえもん第1巻
しきる,しきる,To do incessantly. To do hard,ドラえもん第1巻
目つき,めつき,A look in someone’s eye. An expression in the eyes,ドラえもん第1巻
偽物,にせもの,Forgery. Counterfeit,ドラえもん第1巻
加える,くわえる,To add up. To append. To affix. Too increase. To count in ,ドラえもん第1巻
〜ぞ,〜ぞ,Adds force or indicates command,ドラえもん第1巻
落第点,らくだいてん,Failing grade,ドラえもん第1巻
こりごり,こりごり,Bitter experience. Learning from a bad experience,ドラえもん第1巻
回目,かいめ,-nth time,ドラえもん第1巻
ニヤニヤ,にやにや,Grinning. Smirking,ドラえもん第1巻
構いません,かまいません,No problem. It doesn’t matter,ドラえもん第1巻
あべこべ,あべこべ,Contrary. Opposite. Inverse,ドラえもん第1巻
治る,おさまる,To die down. To be at peace. To subside. To be brought under control,ドラえもん第1巻
どっちか,どっちか,Either. One of the two,ドラえもん第1巻
卑怯,ひきょう,Cowardice. Meanness. Unfairness,ドラえもん第1巻
当て付け,あてつけ,Something done out of spite. Snide remark,ドラえもん第1巻
ジワる,じわる,To begin to like something one initially did not like. To have something grow on you,ドラえもん第1巻
意地悪,いじわる,Malicious. Ill-tempered. Unkind,ドラえもん第1巻
せびる,せびる,To demand. To pester. To extort,ドラえもん第1巻
とんでもない,とんでもない,Unthinkable. Outrageous. Absolutely not! Impossible! Don’t mention it. You’re welcome,ドラえもん第1巻
拗れる,こじれる,To get complicated. To grow worse. To turn sour,ドラえもん第1巻
真似,まね,Imitating. Mimicry. Behavior. Conduct.,ドラえもん第1巻
上手くいく,うまくいく,To go smoothly. To turn out well. To do the trick,ドラえもん第1巻
よっぽど,よっぽど,Very. Greatly. Much,ドラえもん第1巻
お互いに,おたがいに,Mutually. With each other. Reciprocally,ドラえもん第1巻
誘う,さそう,To invite. To call for. To tempt. To seduce. To provoke,ドラえもん第1巻
強引,ごういん,Overbearing. Pushy,ドラえもん第1巻
そいつ,そいつ,That person. That guy. That thing,ドラえもん第1巻
悲鳴,ひめい,Shriek. Scream,ドラえもん第1巻
あかんべー,あかんべー,Facial gesture of pulling ones eyelid down and sticking out ones tongue,ドラえもん第1巻
呆れる,あきれる,To be shocked. To be astonished. To be fed up. To be exasperated ,ドラえもん第1巻
湯たんぽ,ゆたんぽ,Hot water bottle,ドラえもん第1巻
弱虫,よわむし,Scaredy cat. Sissy. Wimp,ドラえもん第1巻
格好,かっこう,Shape. Form. Figure. Appearance. Situation. Suitable. Reasonable,ドラえもん第1巻
寒がり,さむがり,Sensitive to cold,ドラえもん第1巻
なんとか,なんとか,Something or other,ドラえもん第1巻
ちょっぴり,ちょっぴり,A tiny bit. Just a smidge,ドラえもん第1巻
塗る,ぬる,To paint. To plaster. To spread,ドラえもん第1巻
やせ我慢,やせがまん,Enduring something out of pride. Grin and bear it,ドラえもん第1巻
普段,ふだん,Usual. Ordinary. Habitual,ドラえもん第1巻
鍛え,きたえ,Forging. Tempering. Training. Disciplining ,ドラえもん第1巻
せず,せず,Without,ドラえもん第1巻
火傷,やけど,Burn. Scald,ドラえもん第1巻
付けっぱなし,つけっぱなし,Leaving a device on. Forgetting to turn it off,ドラえもん第1巻
沸く,わく,To get hot. To boil. To be excited,ドラえもん第1巻
せめて,せめて,At least. At most,ドラえもん第1巻
こする,こする,To rub. To scrub. To scrape,ドラえもん第1巻
望む,のぞむ,To desire. To wish for. Too expect ,ドラえもん第1巻
大威張り,おおいばり,Bragging. Showing off. Pride,ドラえもん第1巻
トランプ,とらんぷ,Western playing cards,ドラえもん第1巻
よこす,よこす,To send. To forward. To hand over money,ドラえもん第1巻
取り消し,とりけし,Cancellation. Withdrawal,ドラえもん第1巻
値打ち,ねうち,Value. Worth. Price. Dignity,ドラえもん第1巻
残酷,ざんこく,Cruelty. Harshness,ドラえもん第1巻
引っ込む,ひっこむ,To draw back. To settle. Too withdraw ,ドラえもん第1巻
あざ,あざ,Birthmark. Bruise,ドラえもん第1巻
だらけ,だらけ,Full of. Riddled with,ドラえもん第1巻
たっぷり,たっぷり,Full of. Plenty. Ample,ドラえもん第1巻
かっさらう,かっさらう,To nab. To snatch,ドラえもん第1巻
ご機嫌,ごきげん,Humor. Temper. Mood. Spirits,ドラえもん第1巻
べき,べき,Should. Must. Ought to. -able. Probably. Likely  ,ドラえもん第1巻
馬糞,ばふん,Horse dung,ドラえもん第1巻
蹴飛ばす,けとばす,To kick hard. To kick away. Too refuse curtly. To reject outright ,ドラえもん第1巻
